lineno	url	http_code	encoding	word_count
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	    5899
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    1334
3	fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	    1847
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    2796
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    1359
6	https://roboty.magistry.fr	000	unknown	       0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	     444
8	https://fr.wiktionary.org/wiki/robot	200	UTF-8	    5505
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	    1215
10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	   13677
